以a为开头的单词总共有：1107个
art                 : 73
agricultural        : 1
agriculture         : 1
ailment             : 1
air                 : 1
airy                : 1
alarms              : 1
alighted            : 1
alive               : 1
alliances           : 1
alms                : 1
aloft               : 1
alphabet            : 1
alter               : 1
alternating         : 1
alternative         : 1
amazed              : 1
amazement           : 1
ambition            : 1
ambitious           : 1
amply               : 1
amulet              : 1
analogy             : 1
analysis            : 1
anapaestic          : 1
anointed            : 1
antagonists         : 1
anticipating        : 1
antiquity           : 1
anxiously           : 1
aphrodite           : 1
appalling           : 1
apparel             : 1
apparent            : 1
appetites           : 1
appetitive          : 1
applause            : 1
applies             : 1
appointing          : 1
appointment         : 1
apportion           : 1
apprehended         : 1
apprehension        : 1
apprentices         : 1
approval            : 1
appurtenances       : 1
aptitude            : 1
archer              : 1
archilochus         : 1
ares                : 1
argued              : 1
argues              : 1
arguments           : 1
aright              : 1
arion               : 1
aristocracies       : 1
aristocracy         : 1
aristocratical      : 1
aristonymus         : 1
arithmetic          : 1
arm                 : 1
armour              : 1
arrange             : 1
arrayed             : 1
arriving            : 1
arrows              : 1
artemis             : 1
articles            : 1
ascend              : 1
ascribe             : 1
ascribed            : 1
ashes               : 1
asleep              : 1
assailing           : 1
assemblies          : 1
assembly            : 1
assert              : 1
asserted            : 1
assertion           : 1
asserts             : 1
assigning           : 1
assigns             : 1
assimilate          : 1
assimilates         : 1
assimilation        : 1
association         : 1
assumes             : 1
assure              : 1
assured             : 1
astray              : 1
athene              : 1
athlete             : 1
atonement           : 1
atonements          : 1
atoning             : 1
atreus              : 1
attached            : 1
attain              : 1
attaining           : 1
attainment          : 1
attainments         : 1
attempers           : 1
attempted           : 1
attempting          : 1
attendant           : 1
attendants          : 1
attends             : 1
attract             : 1
attracts            : 1
attributes          : 1
attributing         : 1
audacious           : 1
audience            : 1
auditors            : 1
authorised          : 1
autolycus           : 1
aversion            : 1
avert               : 1
awake               : 1
awe                 : 1

以b为开头的单词总共有：419个
body                : 37
bad                 : 30
business            : 20
bodily              : 12
bear                : 10
beauty              : 9
benefit             : 9
beautiful           : 8
bodies              : 7
brother             : 7
belief              : 6
bring               : 6
brought             : 6
blessed             : 5
book                : 5
born                : 5
builder             : 5
battle              : 4
beast               : 4
beg                 : 4
bound               : 4
brave               : 4
barley              : 3
bearing             : 3
behaviour           : 3
behold              : 3
believing           : 3
belongs             : 3
bidding             : 3
blame               : 3
blow                : 3
brass               : 3
break               : 3
bred                : 3
brothers            : 3
building            : 3
buy                 : 3
bade                : 2
bald                : 2
barbarians          : 2
bark                : 2
baser               : 2
bath                : 2
battles             : 2
beaten              : 2
beef                : 2
bees                : 2
begetting           : 2
behalf              : 2
believed            : 2
believes            : 2
beneath             : 2
beneficial          : 2
benefited           : 2
benefits            : 2
bid                 : 2
bids                : 2
binding             : 2
birth               : 2
black               : 2
blamed              : 2
blessing            : 2
blind               : 2
blood               : 2
bowed               : 2
boxing              : 2
branch              : 2
bravest             : 2
brazen              : 2
breast              : 2
breath              : 2
brings              : 2
build               : 2
burden              : 2
busybody            : 2
backwards           : 1
baking              : 1
band                : 1
baneful             : 1
banished            : 1
banquet             : 1
banquetter          : 1
barbers             : 1
barefoot            : 1
barest              : 1
barren              : 1
base                : 1
baseness            : 1
basest              : 1
bass                : 1
bats                : 1
beans               : 1
bearer              : 1
bears               : 1
beasts              : 1
beauteous           : 1
beautify            : 1
beds                : 1
befall              : 1
begged              : 1
begging             : 1
begun               : 1
behave              : 1
beheld              : 1
behests             : 1
bellowing           : 1
beloved             : 1
bendidea            : 1
bending             : 1
bendis              : 1
benefiting          : 1
bequeath            : 1
berries             : 1
beseeching          : 1
besprinkled         : 1
bestowed            : 1
bias                : 1
birds               : 1
bitter              : 1
blameable           : 1
blameless           : 1
blames              : 1
blasphemy           : 1
bleat               : 1
blessings           : 1
bloom               : 1
blows               : 1
blushing            : 1
boatswains          : 1
boil                : 1
boiled              : 1
boils               : 1
books               : 1
boorish             : 1
borders             : 1
bore                : 1
bow                 : 1
bowl                : 1
boxer               : 1
boxers              : 1
boy                 : 1
boys                : 1
bread               : 1
breaker             : 1
breaks              : 1
breathing           : 1
breed               : 1
breeding            : 1
breeze              : 1
bribed              : 1
bricks              : 1
brittle             : 1
brotherhoods        : 1
browse              : 1
brutal              : 1
brute               : 1
builders            : 1
builds              : 1
bulls               : 1
burglars            : 1
buried              : 1
burnt               : 1
bury                : 1
bustling            : 1
buying              : 1
bye                 : 1

以c为开头的单词总共有：1053个
city                : 46
citizens            : 34
class               : 30
children            : 25
care                : 23
courage             : 20
called              : 19
call                : 18
change              : 18
character           : 16
common              : 13
classes             : 12
company             : 12
condition           : 12
conceive            : 10
contrary            : 10
country             : 10
courageous          : 10
cephalus            : 9
cold                : 9
command             : 9
constitution        : 8
convinced           : 8
carpenter           : 7
considered          : 7
creation            : 7
cure                : 7
carried             : 6
cast                : 6
charming            : 6
circumstances       : 6
claim               : 6
commands            : 6
composed            : 6
contracts           : 6
counsel             : 6
choose              : 5
chosen              : 5
chryses             : 5
cities              : 5
cleitophon          : 5
combination         : 5
commonly            : 5
compelled           : 5
completely          : 5
conclusion          : 5
considers           : 5
continue            : 5
control             : 5
correct             : 5
calling             : 4
carry               : 4
censure             : 4
cobblers            : 4
colour              : 4
coming              : 4
community           : 4
complex             : 4
conceived           : 4
confined            : 4
consistent          : 4
constitutions       : 4
convince            : 4
counsels            : 4
cured               : 4
camp                : 3
captain             : 3
characteristic      : 3
cheat               : 3
clearer             : 3
cobbler             : 3
collet              : 3
comedy              : 3
commit              : 3
committed           : 3
comparative         : 3
compared            : 3
concealment         : 3
concupiscent        : 3
conform             : 3
consequences        : 3
constant            : 3
contention          : 3
contest             : 3
contradiction       : 3
converse            : 3
corrupted           : 3
corruption          : 3
courts              : 3
cowardice           : 3
cowardly            : 3
crimes              : 3
cakes               : 2
callings            : 2
calm                : 2
capable             : 2
carelessly          : 2
carpentering        : 2
carries             : 2
casual              : 2
catch               : 2
caught              : 2
cautery             : 2
cease               : 2
censured            : 2
censuring           : 2
chanced             : 2
changed             : 2
characters          : 2
charm               : 2
cheese              : 2
chiefly             : 2
child               : 2
circumference       : 2
circumstance        : 2
citizen             : 2
clothed             : 2
clothes             : 2
coat                : 2
colours             : 2
combinations        : 2
combined            : 2
commanded           : 2
committing          : 2
commonwealth        : 2
companion           : 2
compel              : 2
completed           : 2
composite           : 2
comprehend          : 2
concerned           : 2
conclusions         : 2
conditions          : 2
conducive           : 2
conducted           : 2
confer              : 2
confess             : 2
confuse             : 2
confused            : 2
confusion           : 2
consequence         : 2
considerable        : 2
consists            : 2
constituted         : 2
constitutes         : 2
constructed         : 2
content             : 2
continued           : 2
contributes         : 2
conversely          : 2
cookery             : 2
corn                : 2
couches             : 2
court               : 2
cover               : 2
cowards             : 2
craft               : 2
craftsmen           : 2
create              : 2
created             : 2
creates             : 2
creative            : 2
creature            : 2
crime               : 2
cronus              : 2
crooked             : 2
cry                 : 2
cup                 : 2
curiously           : 2
custom              : 2
customary           : 2
cut                 : 2
calamity            : 1
calendar            : 1
calls               : 1
campaign            : 1
campaigning         : 1
candle              : 1
capacity            : 1
captives            : 1
capture             : 1
careful             : 1
careless            : 1
cares               : 1
carpenters          : 1
carrying            : 1
casks               : 1
catarrh             : 1
catches             : 1
cattle              : 1
caused              : 1
cavern              : 1
celebrate           : 1
celebrated          : 1
celebrating         : 1
censors             : 1
censorship          : 1
centre              : 1
chafes              : 1
chain               : 1
chair               : 1
chairs              : 1
chalcedonian        : 1
chance              : 1
changing            : 1
chaplets            : 1
chapter             : 1
charge              : 1
charged             : 1
charmantides        : 1
charmed             : 1
charmingly          : 1
charms              : 1
chased              : 1
chastises           : 1
cheered             : 1
cheiron             : 1
cherishes           : 1
chief               : 1
chiefest            : 1
chiefs              : 1
childish            : 1
chisel              : 1
choice              : 1
chorus              : 1
citing              : 1
civic               : 1
civilities          : 1
civility            : 1
civilize            : 1
civilizing          : 1
claimed             : 1
claims              : 1
clause              : 1
clean               : 1
clearest            : 1
clearness           : 1
clever              : 1
cling               : 1
cloak               : 1
close               : 1
closed              : 1
clothe              : 1
clothing            : 1
clubs               : 1
coarse              : 1
coarseness          : 1
cobbling            : 1
cock                : 1
cocytus             : 1
coined              : 1
colleagues          : 1
colts               : 1
combine             : 1
comfortable         : 1
comforter           : 1
comic               : 1
commanders          : 1
commencement        : 1
commencing          : 1
commend             : 1
commoner            : 1
commonplace         : 1
communicate         : 1
companions          : 1
companionship       : 1
compare             : 1
comparing           : 1
comparison          : 1
compelling          : 1
compels             : 1
compete             : 1
competition         : 1
complain            : 1
complainers         : 1
complaints          : 1
complete            : 1
complexity          : 1
complicating        : 1
compose             : 1
composition         : 1
comprehending       : 1
compromise          : 1
comrade             : 1
conceals            : 1
conceit             : 1
conceivable         : 1
conception          : 1
concern             : 1
concernment         : 1
condescend          : 1
conduce             : 1
conduct             : 1
confectionary       : 1
confectioners       : 1
conferring          : 1
confers             : 1
confidence          : 1
confident           : 1
confidently         : 1
confirmation        : 1
conflict            : 1
conflicts           : 1
conformity          : 1
conquer             : 1
conscious           : 1
consciousness       : 1
consent             : 1
consented           : 1
consideration       : 1
consist             : 1
consisted           : 1
conspired           : 1
constantly          : 1
construct           : 1
construction        : 1
constructive        : 1
consulting          : 1
consummation        : 1
contamination       : 1
contempt            : 1
contending          : 1
contests            : 1
continually         : 1
continues           : 1
continuing          : 1
contractors         : 1
contribution        : 1
contrived           : 1
contriving          : 1
controlling         : 1
conveniences        : 1
convenient          : 1
conveniently        : 1
conventional        : 1
conversation        : 1
conversing          : 1
conveyed            : 1
convict             : 1
conviction          : 1
convincing          : 1
cooks               : 1
coolness            : 1
copies              : 1
copy                : 1
corinthian          : 1
corners             : 1
corrected           : 1
correctly           : 1
correlative         : 1
correlatives        : 1
correspond          : 1
corrupt             : 1
cost                : 1
counselling         : 1
counsellor          : 1
counsellors         : 1
courageously        : 1
coursing            : 1
courtesans          : 1
covenants           : 1
covered             : 1
covering            : 1
crafty              : 1
creaking            : 1
creator             : 1
creep               : 1
cretans             : 1
cretic              : 1
crew                : 1
criminal            : 1
crisis              : 1
criterion           : 1
critias             : 1
croesus             : 1
crow                : 1
crowd               : 1
crowned             : 1
crowns              : 1
cubits              : 1
cultivates          : 1
culture             : 1
cunning             : 1
cups                : 1
curious             : 1
current             : 1
curriers            : 1
cushioned           : 1
customs             : 1
cutpurses           : 1
cutting             : 1

以d为开头的单词总共有：836个
desire              : 36
drink               : 32
difficulty          : 21
desires             : 17
death               : 15
disease             : 14
doubt               : 14
describing          : 12
dogs                : 12
dear                : 11
dog                 : 11
difference          : 10
discovered          : 10
day                 : 9
dead                : 9
divine              : 9
danger              : 8
deal                : 8
degree              : 8
deprived            : 8
determine           : 8
duty                : 8
dare                : 7
days                : 7
debt                : 7
deceived            : 7
deny                : 7
discover            : 7
diseases            : 7
duties              : 7
deeds               : 6
deemed              : 6
distinguished       : 6
draw                : 6
declare             : 5
deem                : 5
defect              : 5
definition          : 5
deposit             : 5
disgraceful         : 5
dream               : 5
damon               : 4
daughter            : 4
dealings            : 4
debts               : 4
deed                : 4
defence             : 4
delighted           : 4
denied              : 4
derived             : 4
desired             : 4
deteriorated        : 4
determined          : 4
difficult           : 4
discussion          : 4
distinct            : 4
drinking            : 4
drinks              : 4
dangerous           : 3
dangers             : 3
dark                : 3
deceive             : 3
deception           : 3
defend              : 3
defenders           : 3
deficient           : 3
deformity           : 3
deities             : 3
depend              : 3
designed            : 3
destroy             : 3
determining         : 3
dialogue            : 3
differences         : 3
discovery           : 3
disgrace            : 3
distance            : 3
divisions           : 3
don                 : 3
dactylic            : 2
darkly              : 2
dealing             : 2
deceiver            : 2
deceives            : 2
decide              : 2
decided             : 2
declaring           : 2
dedicate            : 2
defined             : 2
defining            : 2
demigods            : 2
depart              : 2
departed            : 2
depict              : 2
deprivation         : 2
deserve             : 2
design              : 2
details             : 2
devise              : 2
devising            : 2
devoted             : 2
devotion            : 2
die                 : 2
differs             : 2
directed            : 2
direction           : 2
disagreeable        : 2
discord             : 2
discourse           : 2
discussed           : 2
diseased            : 2
dishonesty          : 2
disorders           : 2
disposed            : 2
disposition         : 2
dissent             : 2
distinguish         : 2
divers              : 2
divided             : 2
divinity            : 2
doctoring           : 2
doer                : 2
doors               : 2
dorian              : 2
double              : 2
draught             : 2
drawing             : 2
drawn               : 2
draws               : 2
drop                : 2
dropped             : 2
drunk               : 2
drunkenness         : 2
duly                : 2
dwelling            : 2
dwellings           : 2
dye                 : 2
dagger              : 1
dainties            : 1
damaging            : 1
damsel              : 1
dancers             : 1
dances              : 1
daring              : 1
darter              : 1
daughters           : 1
dearer              : 1
dearest             : 1
deceit              : 1
deceitful           : 1
deceiving           : 1
decides             : 1
decision            : 1
declined            : 1
dedicated           : 1
deduction           : 1
deems               : 1
deep                : 1
defeat              : 1
defects             : 1
defendant           : 1
defending           : 1
deficiency          : 1
define              : 1
definite            : 1
defraud             : 1
degenerate          : 1
degrading           : 1
deity               : 1
deliberate          : 1
delicacies          : 1
delight             : 1
delightful          : 1
delights            : 1
delineated          : 1
deliver             : 1
delphi              : 1
deluded             : 1
deluged             : 1
delusion            : 1
demand              : 1
demanding           : 1
democracies         : 1
democratical        : 1
denoted             : 1
departs             : 1
deportment          : 1
deposited           : 1
deprives            : 1
depth               : 1
deranged            : 1
derive              : 1
derives             : 1
descend             : 1
descendants         : 1
descended           : 1
descent             : 1
describes           : 1
description         : 1
descriptions        : 1
deserving           : 1
designated          : 1
designation         : 1
desirable           : 1
despise             : 1
dessert             : 1
destiny             : 1
destitute           : 1
destroyed           : 1
destroyers          : 1
destructive         : 1
detect              : 1
detected            : 1
deteriorates        : 1
deterioration       : 1
determination       : 1
determines          : 1
detest              : 1
develope            : 1
deviation           : 1
devised             : 1
devote              : 1
devour              : 1
dexterity           : 1
dicast              : 1
dice                : 1
dies                : 1
diet                : 1
dietetics           : 1
dieting             : 1
diffused            : 1
dimmer              : 1
dine                : 1
diner               : 1
dinners             : 1
dinning             : 1
diomede             : 1
directs             : 1
dirt                : 1
disagree            : 1
disaster            : 1
discarded           : 1
discern             : 1
discernible         : 1
discerning          : 1
disciples           : 1
discipline          : 1
discomposed         : 1
discontent          : 1
discourses          : 1
discovering         : 1
discretion          : 1
disdain             : 1
disguise            : 1
disguised           : 1
dish                : 1
dishonest           : 1
dishonour           : 1
dishonourable       : 1
dishonoured         : 1
dislike             : 1
dislikes            : 1
disobeying          : 1
disordered          : 1
disparate           : 1
dispenser           : 1
displease           : 1
disproportionate    : 1
disprove            : 1
disproved           : 1
dispute             : 1
disputing           : 1
dissatisfied        : 1
dissolved           : 1
distinction         : 1
distinguishes       : 1
distraction         : 1
distribution        : 1
dithyramb           : 1
diverse             : 1
diversities         : 1
diverted            : 1
divide              : 1
diviner             : 1
division            : 1
doctor              : 1
doctrine            : 1
doers               : 1
doings              : 1
dolphin             : 1
doubled             : 1
doubted             : 1
doubtful            : 1
doubtless           : 1
doubts              : 1
downright           : 1
drag                : 1
dragged             : 1
draughts            : 1
dread               : 1
dreadful            : 1
dress               : 1
dresser             : 1
dresses             : 1
dressing            : 1
drew                : 1
drives              : 1
dross               : 1
drought             : 1
drug                : 1
drugs               : 1
dry                 : 1
dues                : 1
dull                : 1
dumb                : 1
dust                : 1
dwell               : 1
dyed                : 1
dyeing              : 1
dyers               : 1
dying               : 1

以e为开头的单词总共有：612个
evil                : 57
education           : 29
enemies             : 26
equally             : 20
enemy               : 16
enquiry             : 16
educated            : 15
excellence          : 15
easily              : 14
easy                : 12
eyes                : 12
earth               : 11
eye                 : 11
excellent           : 9
evils               : 8
exchange            : 8
experience          : 7
ear                 : 6
escape              : 6
expect              : 6
ears                : 5
enquire             : 5
entire              : 5
err                 : 5
exist               : 5
expression          : 5
earnest             : 4
eat                 : 4
element             : 4
elements            : 4
equal               : 4
error               : 4
exceed              : 4
expected            : 4
effected            : 3
enactments          : 3
endure              : 3
engaged             : 3
escaped             : 3
essential           : 3
events              : 3
evident             : 3
exact               : 3
examine             : 3
excessive           : 3
exclusive           : 3
execute             : 3
exercise            : 3
exercises           : 3
existing            : 3
explain             : 3
external            : 3
extraordinary       : 3
extreme             : 3
eager               : 2
earliest            : 2
eating              : 2
educate             : 2
employed            : 2
employment          : 2
empty               : 2
enchantment         : 2
enchantments        : 2
encourage           : 2
engaging            : 2
enjoins             : 2
enlarge             : 2
enslave             : 2
enter               : 2
entertained         : 2
entreaties          : 2
entrust             : 2
epic                : 2
errs                : 2
establish           : 2
established         : 2
eurypylus           : 2
event               : 2
exactness           : 2
examination         : 2
examples            : 2
excess              : 2
excitable           : 2
exclude             : 2
execution           : 2
exercised           : 2
exercising          : 2
exhibited           : 2
existence           : 2
expense             : 2
explained           : 2
express             : 2
expressive          : 2
extend              : 2
extremely           : 2
eagerly             : 1
eagerness           : 1
earnestly           : 1
earthly             : 1
earthquake          : 1
edification         : 1
edition             : 1
educating           : 1
effeminacy          : 1
effeminate          : 1
efficient           : 1
effluence           : 1
egypt               : 1
egyptians           : 1
elder               : 1
elders              : 1
elegiac             : 1
eleusinian          : 1
elevating           : 1
embassy             : 1
embroidered         : 1
embroiderer         : 1
embroidery          : 1
emetic              : 1
employ              : 1
employing           : 1
enabled             : 1
enacted             : 1
enacting            : 1
enactment           : 1
encamp              : 1
encamped            : 1
enchant             : 1
enchanted           : 1
encouragement       : 1
endeavour           : 1
endurable           : 1
endurance           : 1
endured             : 1
energetically       : 1
engender            : 1
engendered          : 1
enjoy               : 1
enjoying            : 1
enjoyment           : 1
enjoyments          : 1
enlargement         : 1
enquirer            : 1
enslaved            : 1
ensured             : 1
enterprises         : 1
enters              : 1
entertainment       : 1
enthusiastic        : 1
entreat             : 1
entreated           : 1
entreaty            : 1
enumerated          : 1
epicure             : 1
epidemic            : 1
epithet             : 1
equanimity          : 1
equestrian          : 1
er                  : 1
erroneous           : 1
escaping            : 1
essence             : 1
essentially         : 1
eulogists           : 1
euphemism           : 1
euthydemus          : 1
evacuation          : 1
evening             : 1
everlastingly       : 1
exacted             : 1
exactions           : 1
exceeds             : 1
exception           : 1
exceptions          : 1
excited             : 1
exclaiming          : 1
excuse              : 1
executing           : 1
exhibit             : 1
exhibiting          : 1
exhorting           : 1
exordium            : 1
expecting           : 1
expenses            : 1
experiences         : 1
expert              : 1
expiate             : 1
expiations          : 1
explanation         : 1
exporters           : 1
expresses           : 1
expressing          : 1
expressions         : 1
expulsion           : 1
expunge             : 1
extended            : 1
extends             : 1
exterior            : 1
extinguished        : 1

以f为开头的单词总共有：602个
friend              : 37
friends             : 30
fear                : 22
forms               : 18
form                : 17
follow              : 15
food                : 13
force               : 12
fair                : 8
father              : 8
fault               : 8
fight               : 7
fortune             : 7
fail                : 6
fails               : 6
fairest             : 6
fairly              : 6
feel                : 6
fulfil              : 6
false               : 5
falsehood           : 5
famous              : 5
fiction             : 5
fill                : 5
fixed               : 5
folly               : 5
foolish             : 5
forbid              : 5
fourth              : 5
free                : 5
freedom             : 5
fall                : 4
fallen              : 4
feared              : 4
feast               : 4
female              : 4
festival            : 4
fighting            : 4
finding             : 4
flute               : 4
foot                : 4
future              : 4
failed              : 3
faint               : 3
fancy               : 3
fancying            : 3
fed                 : 3
feed                : 3
feeling             : 3
finished            : 3
fit                 : 3
fitted              : 3
flock               : 3
flow                : 3
forget              : 3
forgotten           : 3
formed              : 3
forward             : 3
foundation          : 3
founders            : 3
founding            : 3
freemen             : 3
failing             : 2
faith               : 2
falls               : 2
falsely             : 2
fame                : 2
family              : 2
fare                : 2
fashion             : 2
fast                : 2
fat                 : 2
faults              : 2
fearless            : 2
feasts              : 2
feeble              : 2
feeding             : 2
feelings            : 2
feels               : 2
fellows             : 2
females             : 2
ferocity            : 2
finally             : 2
finger              : 2
fire                : 2
fish                : 2
fleeces             : 2
flocks              : 2
flower              : 2
fly                 : 2
flying              : 2
fool                : 2
forbidden           : 2
forbidding          : 2
foresaw             : 2
fortress            : 2
fortunate           : 2
fortunes            : 2
frame               : 2
framed              : 2
fraud               : 2
friendship          : 2
fruit               : 2
fullest             : 2
function            : 2
functions           : 2
fundamental         : 2
furnish             : 2
furniture           : 2
fury                : 2
factions            : 1
faculties           : 1
faculty             : 1
fade                : 1
fairer              : 1
faithful            : 1
falsehoods          : 1
faltering           : 1
familiar            : 1
familiarity         : 1
familiars           : 1
families            : 1
fancies             : 1
fashioning          : 1
fasten              : 1
fatal               : 1
fate                : 1
fated               : 1
fates               : 1
fathers             : 1
fattens             : 1
faultless           : 1
faulty              : 1
favour              : 1
favourite           : 1
favourites          : 1
fawns               : 1
fearing             : 1
fears               : 1
feather             : 1
features            : 1
feeder              : 1
feeds               : 1
fees                : 1
feet                : 1
fellow              : 1
fertile             : 1
festering           : 1
fever               : 1
fictitious          : 1
fierceness          : 1
fighter             : 1
fightings           : 1
fights              : 1
figs                : 1
filled              : 1
fills               : 1
final               : 1
finer               : 1
finish              : 1
fireside            : 1
firm                : 1
firmly              : 1
fitness             : 1
flames              : 1
flatulence          : 1
fled                : 1
flew                : 1
flitting            : 1
flour               : 1
flowing             : 1
flows               : 1
fluently            : 1
flutes              : 1
flutterings         : 1
fold                : 1
follower            : 1
followers           : 1
fondly              : 1
footing             : 1
forbade             : 1
forced              : 1
forcing             : 1
forebodings         : 1
foreign             : 1
foresee             : 1
forgets             : 1
forgive             : 1
forgot              : 1
forwardness         : 1
forwards            : 1
fostering           : 1
foul                : 1
foundations         : 1
founded             : 1
fourths             : 1
fox                 : 1
framing             : 1
frankly             : 1
frauds              : 1
freed               : 1
freeman             : 1
frenzy              : 1
frequent            : 1
fresh               : 1
friction            : 1
friendly            : 1
fruits              : 1
fulfilling          : 1
fulness             : 1
funnel              : 1
furious             : 1
furnace             : 1
furnished           : 1

以g为开头的单词总共有：460个
gods                : 67
guardians           : 49
god                 : 42
glaucon             : 36
gymnastic           : 24
guardian            : 18
gold                : 16
grow                : 13
government          : 10
gain                : 9
gifts               : 8
grace               : 8
ground              : 7
guilty              : 7
gains               : 6
gentle              : 6
gifted              : 5
greeks              : 5
guard               : 5
gentlemen           : 4
goddess             : 4
gymnastics          : 4
game                : 3
garments            : 3
gathering           : 3
golden              : 3
goodness            : 3
grammarian          : 3
grandfather         : 3
grant               : 3
gained              : 2
gainful             : 2
garland             : 2
garlands            : 2
gathered            : 2
generation          : 2
genius              : 2
gesture             : 2
gift                : 2
glorious            : 2
govern              : 2
graceful            : 2
graces              : 2
greatly             : 2
grown               : 2
guarding            : 2
guess               : 2
guilt               : 2
gyges               : 2
gaining             : 1
gang                : 1
gather              : 1
genealogies         : 1
gentleness          : 1
gentlest            : 1
ghostly             : 1
ghosts              : 1
giants              : 1
giddiness           : 1
girl                : 1
glad                : 1
gladly              : 1
glories             : 1
goings              : 1
governing           : 1
governments         : 1
governors           : 1
governs             : 1
gradual             : 1
gradually           : 1
grammar             : 1
grand               : 1
grander             : 1
granted             : 1
granting            : 1
grasp               : 1
grated              : 1
gratifying          : 1
gravest             : 1
grief               : 1
grievous            : 1
grim                : 1
grossly             : 1
grounds             : 1
grows               : 1
growth              : 1
guards              : 1
guessed             : 1
guidance            : 1
guide               : 1
guided              : 1
guild               : 1
gymnasia            : 1
gymnasium           : 1

以h为开头的单词总共有：589个
hear                : 30
homer               : 23
health              : 22
harm                : 20
hand                : 19
happy               : 17
harmony             : 16
honour              : 15
hands               : 14
happiness           : 14
human               : 14
house               : 12
harmonies           : 11
husbandman          : 11
heroes              : 10
hope                : 10
heard               : 9
hold                : 9
heaven              : 8
houses              : 8
hunger              : 8
habit               : 7
habits              : 7
healthy             : 7
heat                : 7
horses              : 7
husbandmen          : 7
hearing             : 6
heart               : 6
horse               : 6
hard                : 5
harmonious          : 5
head                : 5
heavens             : 5
hour                : 5
harp                : 4
hated               : 4
heads               : 4
held                : 4
hesiod              : 4
honours             : 4
hades               : 3
half                : 3
happier             : 3
hast                : 3
hate                : 3
